"id";"time_stamp";"person";"bicycle";"car";"motorcycle";"bus";"truck";"cat";"dog"
315;"2021-07-19 19:00:00";13;0;26;0;0;0;0;0
316;"2021-07-19 19:15:00";11;1;24;0;0;1;0;0
317;"2021-07-19 19:30:00";10;1;21;0;0;1;0;0
318;"2021-07-19 19:44:59";7;0;16;1;0;0;0;0
319;"2021-07-19 20:00:00";1;0;15;0;0;0;0;0
320;"2021-07-19 20:15:00";2;0;15;0;0;0;0;0
321;"2021-07-19 20:30:00";11;0;13;0;0;0;0;0
322;"2021-07-19 20:45:00";8;0;6;0;0;0;0;0
323;"2021-07-19 21:00:00";8;0;4;0;0;0;0;0
324;"2021-07-20 06:45:00";5;0;8;0;0;1;0;0
325;"2021-07-20 07:00:00";10;0;70;3;1;2;0;0
326;"2021-07-20 07:15:00";8;0;59;1;1;1;0;0
327;"2021-07-20 07:30:00";20;1;76;0;0;4;0;0
328;"2021-07-20 07:45:00";15;2;91;0;1;6;0;0
329;"2021-07-20 08:00:00";13;0;84;0;1;1;0;0
330;"2021-07-20 08:15:00";25;0;54;0;1;11;0;0
331;"2021-07-20 08:30:00";4;0;69;0;2;2;0;0
332;"2021-07-20 08:45:00";10;0;293;0;0;3;0;0
333;"2021-07-20 09:00:00";16;0;61;1;0;4;0;0
334;"2021-07-20 09:15:00";11;0;58;0;0;5;0;0
335;"2021-07-20 09:30:00";11;0;45;0;1;2;0;0
336;"2021-07-20 09:45:00";10;0;41;1;1;3;0;0
337;"2021-07-20 10:00:00";7;0;61;0;1;5;0;0
338;"2021-07-20 10:15:00";21;0;47;0;1;0;0;0
339;"2021-07-21 06:15:41";0;0;0;0;0;0;0;0
340;"2021-07-21 06:15:42";0;0;0;0;0;0;0;0
341;"2021-07-21 06:30:00";3;0;17;0;0;0;0;0
342;"2021-07-21 06:45:00";8;0;29;1;0;0;0;0
343;"2021-07-21 07:00:00";11;0;61;0;1;2;0;0
344;"2021-07-21 07:15:00";13;0;60;0;0;1;0;1
345;"2021-07-21 07:30:00";13;2;91;1;1;4;0;0
346;"2021-07-21 07:45:00";30;3;79;0;6;2;0;0
347;"2021-07-21 08:00:00";3;0;72;0;2;2;0;0
348;"2021-07-21 08:14:59";7;2;57;0;4;3;0;0
